1  -8246.94239230 Ry
2  -8246.94258560 Ry
3  -8246.94305511 Ry
4  -8246.94380255 Ry
5  -8246.94481708 Ry
6  -8246.94607643 Ry
7  -8246.94756535 Ry
8  -8246.94925337 Ry
9  -8246.95111016 Ry
10  -8246.95312407 Ry
11  -8246.95524680 Ry
12  -8246.95745739 Ry
13  -8246.95971781 Ry
14  -8246.96199593 Ry
15  -8246.96424273 Ry
16  -8246.96646862 Ry
17  -8246.96867902 Ry
18  -8246.97084383 Ry
19  -8246.97294721 Ry
20  -8246.97495059 Ry
21  -8246.97684568 Ry
22  -8246.97864107 Ry
23  -8246.98033689 Ry
24  -8246.98195339 Ry
25  -8246.98349674 Ry
26  -8246.98500016 Ry
27  -8246.98645144 Ry
28  -8246.98782938 Ry
29  -8246.98915758 Ry
30  -8246.99040559 Ry
31  -8246.99161619 Ry
32  -8246.99278207 Ry
33  -8246.99393941 Ry
34  -8246.99508760 Ry
35  -8246.99620852 Ry
36  -8246.99730730 Ry
37  -8246.99836562 Ry
38  -8246.99938620 Ry
39  -8247.00034391 Ry
40  -8247.00123275 Ry
41  -8247.00205299 Ry
42  -8247.00277570 Ry
43  -8247.00340002 Ry
44  -8247.00391893 Ry
45  -8247.00430876 Ry
46  -8247.00460447 Ry
47  -8247.00483823 Ry
48  -8247.00505288 Ry
49  -8247.00521302 Ry
50  -8247.00535596 Ry
