1,  !,  total,  energy,  =,  -8246.94239230,  Ry
2,  !,  total,  energy,  =,  -8246.94258560,  Ry
3,  !,  total,  energy,  =,  -8246.94305511,  Ry
4,  !,  total,  energy,  =,  -8246.94380255,  Ry
5,  !,  total,  energy,  =,  -8246.94481708,  Ry
6,  !,  total,  energy,  =,  -8246.94607643,  Ry
7,  !,  total,  energy,  =,  -8246.94756535,  Ry
8,  !,  total,  energy,  =,  -8246.94925337,  Ry
9,  !,  total,  energy,  =,  -8246.95111016,  Ry
10,  !,  total,  energy,  =,  -8246.95312407,  Ry
11,  !,  total,  energy,  =,  -8246.95524680,  Ry
12,  !,  total,  energy,  =,  -8246.95745739,  Ry
13,  !,  total,  energy,  =,  -8246.95971781,  Ry
14,  !,  total,  energy,  =,  -8246.96199593,  Ry
15,  !,  total,  energy,  =,  -8246.96424273,  Ry
16,  !,  total,  energy,  =,  -8246.96646862,  Ry
17,  !,  total,  energy,  =,  -8246.96867902,  Ry
18,  !,  total,  energy,  =,  -8246.97084383,  Ry
19,  !,  total,  energy,  =,  -8246.97294721,  Ry
20,  !,  total,  energy,  =,  -8246.97495059,  Ry
21,  !,  total,  energy,  =,  -8246.97684568,  Ry
22,  !,  total,  energy,  =,  -8246.97864107,  Ry
23,  !,  total,  energy,  =,  -8246.98033689,  Ry
24,  !,  total,  energy,  =,  -8246.98195339,  Ry
25,  !,  total,  energy,  =,  -8246.98349674,  Ry
26,  !,  total,  energy,  =,  -8246.98500016,  Ry
27,  !,  total,  energy,  =,  -8246.98645144,  Ry
28,  !,  total,  energy,  =,  -8246.98782938,  Ry
29,  !,  total,  energy,  =,  -8246.98915758,  Ry
30,  !,  total,  energy,  =,  -8246.99040559,  Ry
31,  !,  total,  energy,  =,  -8246.99161619,  Ry
32,  !,  total,  energy,  =,  -8246.99278207,  Ry
33,  !,  total,  energy,  =,  -8246.99393941,  Ry
34,  !,  total,  energy,  =,  -8246.99508760,  Ry
35,  !,  total,  energy,  =,  -8246.99620852,  Ry
36,  !,  total,  energy,  =,  -8246.99730730,  Ry
37,  !,  total,  energy,  =,  -8246.99836562,  Ry
38,  !,  total,  energy,  =,  -8246.99938620,  Ry
39,  !,  total,  energy,  =,  -8247.00034391,  Ry
40,  !,  total,  energy,  =,  -8247.00123275,  Ry
41,  !,  total,  energy,  =,  -8247.00205299,  Ry
42,  !,  total,  energy,  =,  -8247.00277570,  Ry
43,  !,  total,  energy,  =,  -8247.00340002,  Ry
44,  !,  total,  energy,  =,  -8247.00391893,  Ry
45,  !,  total,  energy,  =,  -8247.00430876,  Ry
46,  !,  total,  energy,  =,  -8247.00460447,  Ry
47,  !,  total,  energy,  =,  -8247.00483823,  Ry
48,  !,  total,  energy,  =,  -8247.00505288,  Ry
49,  !,  total,  energy,  =,  -8247.00521302,  Ry
50,  !,  total,  energy,  =,  -8247.00535596,  Ry
51,  !,  total,  energy,  =,  -8247.00550627,  Ry
52,  !,  total,  energy,  =,  -8247.00565265,  Ry
53,  !,  total,  energy,  =,  -8247.00578507,  Ry
54,  !,  total,  energy,  =,  -8247.00591836,  Ry
55,  !,  total,  energy,  =,  -8247.00604404,  Ry
56,  !,  total,  energy,  =,  -8247.00616621,  Ry
57,  !,  total,  energy,  =,  -8247.00628428,  Ry
58,  !,  total,  energy,  =,  -8247.00639978,  Ry
59,  !,  total,  energy,  =,  -8247.00651723,  Ry
60,  !,  total,  energy,  =,  -8247.00662785,  Ry
61,  !,  total,  energy,  =,  -8247.00672330,  Ry
62,  !,  total,  energy,  =,  -8247.00682695,  Ry
63,  !,  total,  energy,  =,  -8247.00693351,  Ry
64,  !,  total,  energy,  =,  -8247.00702279,  Ry
65,  !,  total,  energy,  =,  -8247.00711360,  Ry
66,  !,  total,  energy,  =,  -8247.00720046,  Ry
67,  !,  total,  energy,  =,  -8247.00728723,  Ry
68,  !,  total,  energy,  =,  -8247.00736031,  Ry
69,  !,  total,  energy,  =,  -8247.00743321,  Ry
70,  !,  total,  energy,  =,  -8247.00750785,  Ry
71,  !,  total,  energy,  =,  -8247.00757217,  Ry
72,  !,  total,  energy,  =,  -8247.00764313,  Ry
73,  !,  total,  energy,  =,  -8247.00772153,  Ry
74,  !,  total,  energy,  =,  -8247.00779124,  Ry
75,  !,  total,  energy,  =,  -8247.00786481,  Ry
76,  !,  total,  energy,  =,  -8247.00793680,  Ry
77,  !,  total,  energy,  =,  -8247.00802360,  Ry
78,  !,  total,  energy,  =,  -8247.00809165,  Ry
79,  !,  total,  energy,  =,  -8247.00816579,  Ry
80,  !,  total,  energy,  =,  -8247.00824406,  Ry
81,  !,  total,  energy,  =,  -8247.00832325,  Ry
82,  !,  total,  energy,  =,  -8247.00839596,  Ry
83,  !,  total,  energy,  =,  -8247.00846354,  Ry
84,  !,  total,  energy,  =,  -8247.00853975,  Ry
85,  !,  total,  energy,  =,  -8247.00860556,  Ry
86,  !,  total,  energy,  =,  -8247.00868280,  Ry
87,  !,  total,  energy,  =,  -8247.00874503,  Ry
88,  !,  total,  energy,  =,  -8247.00881423,  Ry
89,  !,  total,  energy,  =,  -8247.00888115,  Ry
90,  !,  total,  energy,  =,  -8247.00895384,  Ry
91,  !,  total,  energy,  =,  -8247.00902400,  Ry
